,Season,Date,Time,Home,Away,Home_goals,Away_goals,Result,AvgCH,AvgCD,AvgCA
605,2015/2016,2015-10-31,15:00:00,SK Rapid,Sturm Graz,2,1,H,1.85,3.54,4.08
606,2015/2016,2015-10-31,17:30:00,Altach,Salzburg,1,0,H,7.17,4.67,1.4
607,2015/2016,2015-10-31,17:30:00,Grodig,Wolfsberger AC,1,0,H,2.29,3.34,3.0
608,2015/2016,2015-10-31,17:30:00,Ried,Admira,1,1,D,2.0,3.44,3.57
609,2015/2016,2015-11-01,15:30:00,Mattersburg,Austria Vienna,1,2,A,2.94,3.51,2.25
610,2015/2016,2015-11-07,15:00:00,Austria Vienna,Salzburg,1,1,D,3.81,3.69,1.87
611,2015/2016,2015-11-07,17:30:00,Wolfsberger AC,Mattersburg,2,1,H,2.16,3.41,3.2
612,2015/2016,2015-11-07,17:30:00,Admira,Altach,1,1,D,2.25,3.37,3.05
613,2015/2016,2015-11-07,17:30:00,Sturm Graz,Ried,3,2,H,1.51,4.07,6.28
614,2015/2016,2015-11-08,15:30:00,Grodig,SK Rapid,2,1,H,3.55,3.51,1.99
615,2015/2016,2015-11-21,15:00:00,Austria Vienna,Admira,1,1,D,1.47,4.28,6.45
616,2015/2016,2015-11-21,17:30:00,Altach,Wolfsberger AC,2,1,H,2.2,3.27,3.24
617,2015/2016,2015-11-21,17:30:00,Mattersburg,SK Rapid,1,6,A,4.08,3.67,1.82
618,2015/2016,2015-11-21,17:30:00,Ried,Grodig,1,0,H,2.24,3.35,3.08
619,2015/2016,2015-11-22,15:30:00,Salzburg,Sturm Graz,3,1,H,1.35,5.11,7.91
620,2015/2016,2015-11-28,15:00:00,Sturm Graz,Mattersburg,0,0,D,1.47,4.35,6.41
621,2015/2016,2015-11-28,17:30:00,Wolfsberger AC,Admira,4,0,H,1.94,3.43,3.79
622,2015/2016,2015-11-28,17:30:00,Grodig,Salzburg,1,1,D,8.01,5.11,1.34
623,2015/2016,2015-11-29,15:30:00,Ried,Austria Vienna,4,2,H,3.15,3.41,2.18
624,2015/2016,2015-11-29,18:00:00,SK Rapid,Altach,3,1,H,1.37,4.8,7.75
625,2015/2016,2015-12-01,18:00:00,Salzburg,Wolfsberger AC,1,1,D,1.2,6.44,11.97
626,2015/2016,2015-12-02,17:30:00,Admira,SK Rapid,2,1,H,5.58,4.08,1.55
627,2015/2016,2015-12-02,17:30:00,Altach,Ried,1,3,A,2.08,3.34,3.43
628,2015/2016,2015-12-02,17:30:00,Mattersburg,Grodig,0,2,A,2.05,3.51,3.35
629,2015/2016,2015-12-02,19:30:00,Austria Vienna,Sturm Graz,2,1,H,2.24,3.36,3.07
630,2015/2016,2015-12-05,15:00:00,Wolfsberger AC,Austria Vienna,2,0,H,2.44,3.32,2.8
631,2015/2016,2015-12-05,17:30:00,Grodig,Altach,0,3,A,2.06,3.37,3.48
632,2015/2016,2015-12-05,17:30:00,SK Rapid,Ried,2,1,H,1.37,4.83,7.76
633,2015/2016,2015-12-05,17:30:00,Sturm Graz,Admira,1,1,D,1.53,4.14,5.77
634,2015/2016,2015-12-06,15:30:00,Mattersburg,Salzburg,0,0,D,6.82,4.84,1.4
635,2015/2016,2015-12-12,15:00:00,Austria Vienna,Altach,1,2,A,1.65,3.87,4.96
636,2015/2016,2015-12-12,17:30:00,Admira,Mattersburg,1,1,D,2.24,3.39,3.04
637,2015/2016,2015-12-12,17:30:00,Ried,Wolfsberger AC,1,0,H,2.53,3.23,2.74
638,2015/2016,2015-12-12,17:30:00,Sturm Graz,Grodig,2,0,H,1.63,3.84,5.15
639,2015/2016,2015-12-13,15:30:00,Salzburg,SK Rapid,2,0,H,1.66,4.0,4.63
640,2015/2016,2016-02-06,15:00:00,Altach,Sturm Graz,2,2,D,2.93,3.3,2.35
641,2015/2016,2016-02-06,17:30:00,Grodig,Austria Vienna,0,1,A,3.22,3.35,2.17
642,2015/2016,2016-02-06,17:30:00,Mattersburg,Ried,3,3,D,2.08,3.41,3.39
643,2015/2016,2016-02-06,17:30:00,SK Rapid,Wolfsberger AC,3,0,H,1.56,3.91,5.87
644,2015/2016,2016-02-07,15:30:00,Admira,Salzburg,1,2,A,5.84,4.2,1.52
645,2015/2016,2016-02-13,15:00:00,Ried,Salzburg,1,0,H,5.19,3.8,1.63
646,2015/2016,2016-02-13,17:30:00,Wolfsberger AC,Sturm Graz,0,0,D,2.68,3.19,2.61
647,2015/2016,2016-02-13,17:30:00,Altach,Mattersburg,1,2,A,1.9,3.56,3.84
648,2015/2016,2016-02-13,17:30:00,Grodig,Admira,2,2,D,2.36,3.25,2.95
649,2015/2016,2016-02-14,15:30:00,Austria Vienna,SK Rapid,0,3,A,2.68,3.31,2.55
650,2015/2016,2016-02-20,15:00:00,Austria Vienna,Mattersburg,2,2,D,1.6,4.0,5.19
651,2015/2016,2016-02-20,17:30:00,Wolfsberger AC,Grodig,2,0,H,1.83,3.53,4.19
652,2015/2016,2016-02-20,17:30:00,Admira,Ried,0,0,D,2.2,3.35,3.16
653,2015/2016,2016-02-20,17:30:00,Salzburg,Altach,2,0,H,1.31,5.15,9.0
654,2015/2016,2016-02-21,15:30:00,Sturm Graz,SK Rapid,0,2,A,2.48,3.31,2.76
655,2015/2016,2016-02-27,15:00:00,Ried,Sturm Graz,0,1,A,2.82,3.25,2.45
656,2015/2016,2016-02-27,17:30:00,Altach,Admira,1,2,A,2.17,3.29,3.3
657,2015/2016,2016-02-27,17:30:00,Mattersburg,Wolfsberger AC,1,1,D,2.78,3.29,2.46
658,2015/2016,2016-02-28,13:00:00,SK Rapid,Grodig,3,2,H,1.35,4.87,8.11
659,2015/2016,2016-02-28,15:30:00,Salzburg,Austria Vienna,4,1,H,1.44,4.4,6.91
660,2015/2016,2016-03-01,18:00:00,Wolfsberger AC,Altach,1,0,H,1.75,3.56,4.62
661,2015/2016,2016-03-02,17:30:00,Admira,Austria Vienna,0,3,A,2.84,3.26,2.43
662,2015/2016,2016-03-02,17:30:00,Grodig,Ried,2,2,D,2.49,3.2,2.81
663,2015/2016,2016-03-02,17:30:00,SK Rapid,Mattersburg,3,0,H,1.36,4.93,7.89
664,2015/2016,2016-03-02,19:30:00,Sturm Graz,Salzburg,0,0,D,4.07,3.55,1.85
665,2015/2016,2016-03-05,15:00:00,Salzburg,Grodig,3,0,H,1.22,6.37,11.44
666,2015/2016,2016-03-05,17:30:00,Admira,Wolfsberger AC,0,2,A,2.53,3.16,2.78
667,2015/2016,2016-03-05,17:30:00,Austria Vienna,Ried,3,1,H,1.76,3.67,4.4
668,2015/2016,2016-03-05,17:30:00,Mattersburg,Sturm Graz,1,0,H,3.31,3.35,2.14
669,2015/2016,2016-03-06,15:30:00,Altach,SK Rapid,0,0,D,4.26,3.62,1.79
670,2015/2016,2016-03-12,15:00:00,Wolfsberger AC,Salzburg,1,1,D,4.87,3.77,1.68
671,2015/2016,2016-03-12,17:30:00,Grodig,Mattersburg,0,1,A,2.12,3.41,3.3
672,2015/2016,2016-03-12,17:30:00,SK Rapid,Admira,0,4,A,1.41,4.58,7.25
673,2015/2016,2016-03-12,17:30:00,Ried,Altach,0,2,A,1.84,3.54,4.12
674,2015/2016,2016-03-13,15:30:00,Sturm Graz,Austria Vienna,1,1,D,2.06,3.37,3.46
675,2015/2016,2016-03-19,15:00:00,Austria Vienna,Wolfsberger AC,0,0,D,1.79,3.58,4.32
676,2015/2016,2016-03-19,17:30:00,Admira,Sturm Graz,1,0,H,3.8,3.43,1.98
677,2015/2016,2016-03-19,17:30:00,Altach,Grodig,1,0,H,2.04,3.37,3.53
678,2015/2016,2016-03-19,17:30:00,Salzburg,Mattersburg,2,1,H,1.2,6.46,13.28
679,2015/2016,2016-03-20,15:30:00,Ried,SK Rapid,1,0,H,3.64,3.44,1.98
680,2015/2016,2016-04-02,15:00:00,Grodig,Sturm Graz,1,3,A,3.42,3.33,2.09
681,2015/2016,2016-04-02,17:30:00,Wolfsberger AC,Ried,1,0,H,2.0,3.34,3.71
682,2015/2016,2016-04-02,17:30:00,Altach,Austria Vienna,2,0,H,3.22,3.36,2.17
683,2015/2016,2016-04-02,17:30:00,Mattersburg,Admira,0,3,A,2.14,3.37,3.31
684,2015/2016,2016-04-03,14:00:00,SK Rapid,Salzburg,1,1,D,2.95,3.43,2.29
685,2015/2016,2016-04-09,15:00:00,Sturm Graz,Altach,4,1,H,1.5,4.08,6.56
686,2015/2016,2016-04-09,17:30:00,Wolfsberger AC,SK Rapid,2,2,D,3.36,3.33,2.12
687,2015/2016,2016-04-09,17:30:00,Austria Vienna,Grodig,0,2,A,1.43,4.5,6.89
688,2015/2016,2016-04-09,17:30:00,Ried,Mattersburg,1,0,H,2.03,3.46,3.48
689,2015/2016,2016-04-10,15:30:00,Salzburg,Admira,1,0,H,1.21,6.34,11.99
690,2015/2016,2016-04-16,15:00:00,Salzburg,Ried,2,1,H,1.24,5.78,11.1
691,2015/2016,2016-04-16,17:30:00,Admira,Grodig,1,1,D,2.0,3.53,3.51
692,2015/2016,2016-04-16,17:30:00,Mattersburg,Altach,0,0,D,2.02,3.43,3.55
693,2015/2016,2016-04-16,17:30:00,Sturm Graz,Wolfsberger AC,1,0,H,1.67,3.71,4.94
694,2015/2016,2016-04-17,15:30:00,SK Rapid,Austria Vienna,1,0,H,2.05,3.49,3.38
695,2015/2016,2016-04-23,15:00:00,Mattersburg,Austria Vienna,0,9,A,3.38,3.48,2.06
696,2015/2016,2016-04-23,17:30:00,Altach,Salzburg,1,3,A,6.94,4.37,1.44
697,2015/2016,2016-04-23,17:30:00,Grodig,Wolfsberger AC,0,1,A,2.6,3.14,2.72
698,2015/2016,2016-04-23,17:30:00,Ried,Admira,1,0,H,1.98,3.43,3.66
699,2015/2016,2016-04-24,15:30:00,SK Rapid,Sturm Graz,2,0,H,1.87,3.56,3.94
700,2015/2016,2016-04-30,15:00:00,Grodig,SK Rapid,2,0,H,5.15,4.03,1.6
701,2015/2016,2016-04-30,17:30:00,Wolfsberger AC,Mattersburg,2,0,H,1.6,3.86,5.34
702,2015/2016,2016-04-30,17:30:00,Admira,Altach,2,1,H,2.0,3.41,3.59
703,2015/2016,2016-04-30,17:30:00,Sturm Graz,Ried,0,0,D,1.55,3.97,5.75
704,2015/2016,2016-05-01,15:30:00,Austria Vienna,Salzburg,0,2,A,3.42,3.54,2.02
705,2015/2016,2016-05-07,15:00:00,Austria Vienna,Admira,3,1,H,1.47,4.27,6.53
706,2015/2016,2016-05-07,17:30:00,Altach,Wolfsberger AC,1,1,D,2.35,3.17,3.03
707,2015/2016,2016-05-07,17:30:00,Ried,Grodig,2,0,H,1.96,3.46,3.69
708,2015/2016,2016-05-07,17:30:00,Salzburg,Sturm Graz,1,1,D,1.63,3.99,4.91
709,2015/2016,2016-05-08,15:30:00,Mattersburg,SK Rapid,0,2,A,4.71,3.84,1.68
710,2015/2016,2016-05-11,19:30:00,Wolfsberger AC,Admira,1,2,A,1.94,3.49,3.71
711,2015/2016,2016-05-11,19:30:00,Grodig,Salzburg,1,2,A,3.2,3.63,2.09
712,2015/2016,2016-05-11,19:30:00,SK Rapid,Altach,1,1,D,1.37,4.75,7.87
713,2015/2016,2016-05-11,19:30:00,Ried,Austria Vienna,0,5,A,3.29,3.43,2.11
714,2015/2016,2016-05-11,19:30:00,Sturm Graz,Mattersburg,1,1,D,1.36,4.83,7.71
715,2015/2016,2016-05-15,16:30:00,Admira,SK Rapid,1,3,A,2.9,3.49,2.28
716,2015/2016,2016-05-15,16:30:00,Altach,Ried,0,0,D,2.09,3.48,3.3
717,2015/2016,2016-05-15,16:30:00,Austria Vienna,Sturm Graz,3,0,H,2.26,3.51,2.92
718,2015/2016,2016-05-15,16:30:00,Mattersburg,Grodig,2,3,A,1.95,3.59,3.59
719,2015/2016,2016-05-15,16:30:00,Salzburg,Wolfsberger AC,1,0,H,1.46,4.54,6.09
720,2016/2017,2016-07-23,15:00:00,SK Rapid,Ried,5,0,H,1.38,4.55,8.11
721,2016/2017,2016-07-23,17:30:00,Altach,Wolfsberger AC,1,0,H,2.48,3.12,2.9
722,2016/2017,2016-07-23,17:30:00,Sturm Graz,Salzburg,3,1,H,3.72,3.52,1.94
723,2016/2017,2016-07-24,15:30:00,St. Polten,Austria Vienna,1,2,A,3.5,3.41,2.05
724,2016/2017,2016-07-24,18:00:00,Mattersburg,Admira,0,1,A,2.59,3.25,2.68
725,2016/2017,2016-07-30,15:00:00,Salzburg,Wolfsberger AC,1,1,D,1.39,4.64,7.5
726,2016/2017,2016-07-30,17:30:00,Ried,Sturm Graz,1,0,H,3.39,3.33,2.11
727,2016/2017,2016-07-31,15:30:00,Altach,SK Rapid,1,0,H,4.9,3.63,1.71
728,2016/2017,2016-07-31,15:30:00,Austria Vienna,Mattersburg,3,1,H,1.57,4.16,5.41
729,2016/2017,2016-07-31,18:00:00,St. Polten,Admira,2,1,H,2.11,3.3,3.46
730,2016/2017,2016-08-06,15:00:00,Mattersburg,Sturm Graz,0,2,A,3.34,3.35,2.13
731,2016/2017,2016-08-06,17:30:00,Wolfsberger AC,Ried,1,0,H,1.93,3.36,3.93
732,2016/2017,2016-08-06,17:30:00,Admira,Altach,1,2,A,2.34,3.25,3.0
733,2016/2017,2016-08-06,17:30:00,Salzburg,St. Polten,2,0,H,1.21,6.24,12.63
734,2016/2017,2016-08-07,15:30:00,Austria Vienna,SK Rapid,1,4,A,3.02,3.41,2.26
735,2016/2017,2016-08-13,15:00:00,Ried,Salzburg,0,2,A,4.77,3.84,1.67
736,2016/2017,2016-08-13,17:30:00,Altach,St. Polten,3,1,H,1.83,3.56,4.2
737,2016/2017,2016-08-13,17:30:00,Mattersburg,Wolfsberger AC,3,1,H,2.79,3.23,2.51
738,2016/2017,2016-08-13,17:30:00,SK Rapid,Admira,4,0,H,1.29,5.27,10.19
739,2016/2017,2016-08-14,15:30:00,Sturm Graz,Austria Vienna,3,1,H,2.21,3.31,3.2
740,2016/2017,2016-08-20,15:00:00,St. Polten,Sturm Graz,1,3,A,3.83,3.42,1.95
741,2016/2017,2016-08-20,17:30:00,Admira,Ried,1,0,H,2.32,3.27,3.02
742,2016/2017,2016-08-20,17:30:00,Salzburg,Mattersburg,3,1,H,1.35,5.04,7.93
743,2016/2017,2016-08-21,15:30:00,Wolfsberger AC,SK Rapid,1,1,D,4.73,3.8,1.69
744,2016/2017,2016-08-21,18:00:00,Austria Vienna,Altach,3,1,H,2.02,3.47,3.49
745,2016/2017,2016-08-27,15:00:00,Sturm Graz,Altach,3,1,H,1.72,3.65,4.71
746,2016/2017,2016-08-27,17:30:00,Wolfsberger AC,Admira,5,0,H,1.92,3.41,3.94
747,2016/2017,2016-08-27,17:30:00,Mattersburg,St. Polten,1,1,D,2.05,3.4,3.48
748,2016/2017,2016-08-28,15:30:00,SK Rapid,Salzburg,0,0,D,2.3,3.38,2.98
749,2016/2017,2016-08-28,18:00:00,Ried,Austria Vienna,1,1,D,3.12,3.32,2.24
750,2016/2017,2016-09-10,15:00:00,Sturm Graz,SK Rapid,1,1,D,3.19,3.35,2.2
751,2016/2017,2016-09-10,17:30:00,Altach,Mattersburg,2,1,H,1.76,3.64,4.45
752,2016/2017,2016-09-10,17:30:00,Austria Vienna,Wolfsberger AC,4,1,H,1.87,3.47,4.13
753,2016/2017,2016-09-10,17:30:00,St. Polten,Ried,2,3,A,2.46,3.25,2.83
754,2016/2017,2016-09-11,15:30:00,Admira,Salzburg,0,4,A,7.64,4.77,1.38
755,2016/2017,2016-09-17,15:00:00,Ried,Altach,2,1,H,2.46,3.17,2.88
756,2016/2017,2016-09-17,17:30:00,Wolfsberger AC,St. Polten,1,1,D,1.55,3.94,5.9
757,2016/2017,2016-09-17,17:30:00,Admira,Sturm Graz,0,3,A,4.9,3.75,1.67
758,2016/2017,2016-09-18,15:30:00,Salzburg,Austria Vienna,4,1,H,1.32,5.29,8.17
759,2016/2017,2016-09-18,18:00:00,SK Rapid,Mattersburg,3,0,H,1.3,5.43,8.68
760,2016/2017,2016-09-24,15:00:00,St. Polten,SK Rapid,1,1,D,7.13,4.59,1.41
761,2016/2017,2016-09-24,17:30:00,Austria Vienna,Admira,1,2,A,1.48,4.42,6.09
762,2016/2017,2016-09-24,17:30:00,Mattersburg,Ried,1,1,D,2.36,3.26,2.94
763,2016/2017,2016-09-24,17:30:00,Sturm Graz,Wolfsberger AC,3,0,H,1.59,3.87,5.56
764,2016/2017,2016-09-25,15:30:00,Altach,Salzburg,0,0,D,6.04,4.09,1.52
765,2016/2017,2016-10-01,15:00:00,Wolfsberger AC,Altach,1,2,A,2.11,3.21,3.52
766,2016/2017,2016-10-01,17:30:00,Admira,Mattersburg,1,0,H,2.4,3.26,2.89
767,2016/2017,2016-10-02,15:30:00,Ried,SK Rapid,4,2,H,5.27,3.72,1.64
768,2016/2017,2016-10-02,15:30:00,Salzburg,Sturm Graz,0,1,A,1.59,4.02,5.25
769,2016/2017,2016-10-02,18:00:00,Austria Vienna,St. Polten,2,1,H,1.49,4.25,6.16
770,2016/2017,2016-10-15,15:00:00,Wolfsberger AC,Salzburg,2,2,D,4.97,3.73,1.67
771,2016/2017,2016-10-15,17:30:00,Admira,St. Polten,1,1,D,2.13,3.29,3.36
772,2016/2017,2016-10-15,17:30:00,SK Rapid,Altach,1,1,D,1.42,4.39,7.21
773,2016/2017,2016-10-15,17:30:00,Sturm Graz,Ried,1,0,H,1.51,4.15,6.06
774,2016/2017,2016-10-16,15:30:00,Mattersburg,Austria Vienna,0,2,A,3.62,3.65,1.93
775,2016/2017,2016-10-22,15:00:00,Sturm Graz,Mattersburg,2,2,D,1.33,4.93,8.81
776,2016/2017,2016-10-22,17:30:00,Altach,Admira,2,0,H,1.75,3.62,4.54
777,2016/2017,2016-10-22,17:30:00,Ried,Wolfsberger AC,0,1,A,2.27,3.21,3.16
778,2016/2017,2016-10-23,13:00:00,St. Polten,Salzburg,1,5,A,7.63,4.79,1.37
779,2016/2017,2016-10-23,15:30:00,SK Rapid,Austria Vienna,0,2,A,1.85,3.65,3.94
780,2016/2017,2016-10-29,15:00:00,Admira,SK Rapid,1,2,A,4.8,3.84,1.67
781,2016/2017,2016-10-29,17:30:00,Wolfsberger AC,Mattersburg,3,0,H,1.86,3.47,4.09
782,2016/2017,2016-10-29,17:30:00,Salzburg,Ried,1,0,H,1.22,6.11,11.69
783,2016/2017,2016-10-29,17:30:00,St. Polten,Altach,0,1,A,3.12,3.29,2.25
784,2016/2017,2016-10-30,15:30:00,Austria Vienna,Sturm Graz,2,0,H,2.36,3.33,2.9
785,2016/2017,2016-11-05,15:00:00,Sturm Graz,St. Polten,1,2,A,1.31,5.04,9.23
786,2016/2017,2016-11-05,17:30:00,Ried,Admira,2,1,H,2.06,3.35,3.53
787,2016/2017,2016-11-06,13:00:00,SK Rapid,Wolfsberger AC,0,1,A,1.54,3.99,5.88
788,2016/2017,2016-11-06,15:30:00,Altach,Austria Vienna,5,1,H,2.49,3.18,2.81
789,2016/2017,2016-11-06,15:30:00,Mattersburg,Salzburg,2,1,H,9.08,5.32,1.3
790,2016/2017,2016-11-19,15:00:00,Altach,Sturm Graz,1,1,D,2.63,3.14,2.71
791,2016/2017,2016-11-19,17:30:00,Admira,Wolfsberger AC,4,1,H,2.64,3.16,2.68
792,2016/2017,2016-11-19,17:30:00,Austria Vienna,Ried,2,0,H,1.59,3.98,5.3
793,2016/2017,2016-11-19,17:30:00,St. Polten,Mattersburg,2,2,D,2.3,3.27,3.05
794,2016/2017,2016-11-20,15:30:00,Salzburg,SK Rapid,2,1,H,1.69,3.74,4.82
795,2016/2017,2016-11-26,15:00:00,Ried,St. Polten,1,2,A,1.94,3.36,3.93
796,2016/2017,2016-11-26,17:30:00,Mattersburg,Altach,1,2,A,3.06,3.24,2.32
797,2016/2017,2016-11-27,13:00:00,Wolfsberger AC,Austria Vienna,0,3,A,2.6,3.21,2.68
798,2016/2017,2016-11-27,15:30:00,SK Rapid,Sturm Graz,1,2,A,2.07,3.36,3.48
799,2016/2017,2016-11-27,15:30:00,Salzburg,Admira,0,1,A,1.21,6.44,11.83
800,2016/2017,2016-11-29,18:00:00,Altach,Ried,1,0,H,1.83,3.42,4.4
801,2016/2017,2016-11-30,19:30:00,Austria Vienna,Salzburg,1,3,A,4.83,3.97,1.65
802,2016/2017,2016-11-30,19:30:00,Mattersburg,SK Rapid,1,1,D,4.61,3.72,1.72
803,2016/2017,2016-11-30,19:30:00,St. Polten,Wolfsberger AC,0,4,A,2.39,3.22,2.95
804,2016/2017,2016-11-30,19:30:00,Sturm Graz,Admira,0,2,A,1.53,4.07,5.96
805,2016/2017,2016-12-03,15:00:00,SK Rapid,St. Polten,1,0,H,1.38,4.69,7.83
806,2016/2017,2016-12-03,17:30:00,Admira,Austria Vienna,0,2,A,2.95,3.41,2.29
807,2016/2017,2016-12-03,17:30:00,Ried,Mattersburg,2,1,H,2.05,3.36,3.57
808,2016/2017,2016-12-03,17:30:00,Salzburg,Altach,4,1,H,1.32,5.01,9.34
809,2016/2017,2016-12-04,15:30:00,Wolfsberger AC,Sturm Graz,0,4,A,3.22,3.24,2.23
810,2016/2017,2016-12-10,15:00:00,Altach,Wolfsberger AC,2,1,H,1.78,3.44,4.64
811,2016/2017,2016-12-10,17:30:00,Mattersburg,Admira,2,0,H,2.5,3.23,2.78
812,2016/2017,2016-12-11,13:00:00,SK Rapid,Ried,3,1,H,1.45,4.27,7.01
813,2016/2017,2016-12-11,15:30:00,Sturm Graz,Salzburg,0,1,A,3.73,3.43,1.96
814,2016/2017,2016-12-12,15:30:00,St. Polten,Austria Vienna,2,1,H,3.49,3.53,2.0
815,2016/2017,2016-12-17,15:00:00,Ried,Sturm Graz,0,3,A,3.79,3.28,2.0
816,2016/2017,2016-12-17,17:30:00,Austria Vienna,Mattersburg,2,0,H,1.62,3.98,5.03
817,2016/2017,2016-12-17,17:30:00,Salzburg,Wolfsberger AC,3,0,H,1.19,6.58,13.77
818,2016/2017,2016-12-17,17:30:00,St. Polten,Admira,2,2,D,2.89,3.23,2.42
819,2016/2017,2016-12-18,15:30:00,Altach,SK Rapid,3,1,H,2.77,3.2,2.53
820,2016/2017,2017-02-11,15:00:00,Admira,Altach,1,1,D,2.55,3.19,2.76
821,2016/2017,2017-02-11,17:30:00,Wolfsberger AC,Ried,1,0,H,2.03,3.26,3.69
822,2016/2017,2017-02-11,17:30:00,Mattersburg,Sturm Graz,1,0,H,3.72,3.39,1.97
823,2016/2017,2017-02-11,17:30:00,Salzburg,St. Polten,2,0,H,1.12,8.31,20.4
824,2016/2017,2017-02-12,15:30:00,Austria Vienna,SK Rapid,1,1,D,2.85,3.26,2.43
825,2016/2017,2017-02-18,15:00:00,Sturm Graz,Austria Vienna,0,4,A,2.15,3.33,3.31
826,2016/2017,2017-02-18,17:30:00,Altach,St. Polten,1,2,A,1.62,3.78,5.38
827,2016/2017,2017-02-18,17:30:00,Mattersburg,Wolfsberger AC,2,1,H,2.27,3.17,3.21
828,2016/2017,2017-02-18,17:30:00,SK Rapid,Admira,0,0,D,1.49,4.17,6.44
829,2016/2017,2017-02-19,15:30:00,Ried,Salzburg,1,6,A,9.05,4.98,1.32
830,2016/2017,2017-02-25,15:00:00,Wolfsberger AC,SK Rapid,2,1,H,3.92,3.29,1.97
831,2016/2017,2017-02-25,17:30:00,Admira,Ried,1,0,H,2.0,3.31,3.78
832,2016/2017,2017-02-25,17:30:00,Austria Vienna,Altach,1,3,A,1.77,3.62,4.44
833,2016/2017,2017-02-25,17:30:00,Salzburg,Mattersburg,1,0,H,1.2,6.43,13.14
834,2016/2017,2017-02-26,15:30:00,St. Polten,Sturm Graz,2,1,H,3.69,3.41,1.98
835,2016/2017,2017-03-04,15:00:00,Sturm Graz,Altach,3,0,H,1.93,3.4,3.92
836,2016/2017,2017-03-04,17:30:00,Wolfsberger AC,Admira,1,1,D,2.29,3.11,3.21
837,2016/2017,2017-03-04,17:30:00,Mattersburg,St. Polten,1,0,H,1.84,3.48,4.23
838,2016/2017,2017-03-04,17:30:00,Ried,Austria Vienna,0,3,A,3.54,3.42,2.03
839,2016/2017,2017-03-05,15:30:00,SK Rapid,Salzburg,0,1,A,3.6,3.37,2.02
840,2016/2017,2017-03-11,15:00:00,St. Polten,Ried,1,0,H,2.28,3.22,3.14
841,2016/2017,2017-03-11,17:30:00,Admira,Salzburg,1,1,D,7.57,4.55,1.4
842,2016/2017,2017-03-11,17:30:00,Altach,Mattersburg,3,0,H,2.09,3.25,3.56
843,2016/2017,2017-03-11,17:30:00,Austria Vienna,Wolfsberger AC,3,0,H,1.52,4.15,5.98
844,2016/2017,2017-03-12,15:30:00,Sturm Graz,SK Rapid,2,1,H,2.64,3.2,2.64
845,2016/2017,2017-03-18,15:00:00,SK Rapid,Mattersburg,1,1,D,1.47,4.19,6.87
846,2016/2017,2017-03-18,17:30:00,Wolfsberger AC,St. Polten,1,0,H,2.08,3.28,3.56
847,2016/2017,2017-03-18,17:30:00,Admira,Sturm Graz,1,0,H,3.05,3.2,2.34
848,2016/2017,2017-03-18,17:30:00,Ried,Altach,2,0,H,2.8,3.09,2.59
849,2016/2017,2017-03-19,15:30:00,Salzburg,Austria Vienna,5,0,H,1.4,4.66,7.14
850,2016/2017,2017-04-01,15:00:00,St. Polten,SK Rapid,1,1,D,5.16,3.75,1.65
851,2016/2017,2017-04-01,17:30:00,Austria Vienna,Admira,0,2,A,1.59,3.97,5.37
852,2016/2017,2017-04-01,17:30:00,Mattersburg,Ried,2,1,H,2.02,3.3,3.72
853,2016/2017,2017-04-01,17:30:00,Sturm Graz,Wolfsberger AC,4,0,H,1.81,3.43,4.51
854,2016/2017,2017-04-02,15:30:00,Altach,Salzburg,0,5,A,5.71,3.78,1.6
855,2016/2017,2017-04-08,15:00:00,Ried,SK Rapid,3,0,H,4.14,3.45,1.87
856,2016/2017,2017-04-08,17:30:00,Wolfsberger AC,Altach,0,0,D,2.72,3.05,2.69
857,2016/2017,2017-04-08,17:30:00,Admira,Mattersburg,0,2,A,2.22,3.24,3.25
858,2016/2017,2017-04-08,17:30:00,Austria Vienna,St. Polten,1,2,A,1.44,4.39,6.96
859,2016/2017,2017-04-09,15:30:00,Salzburg,Sturm Graz,1,0,H,1.34,4.76,8.96
860,2016/2017,2017-04-15,15:00:00,Wolfsberger AC,Salzburg,0,2,A,7.64,4.31,1.42
861,2016/2017,2017-04-15,17:30:00,Admira,St. Polten,2,0,H,2.46,3.31,2.81
862,2016/2017,2017-04-15,17:30:00,SK Rapid,Altach,3,0,H,1.67,3.66,5.19
863,2016/2017,2017-04-15,17:30:00,Sturm Graz,Ried,1,0,H,1.59,3.86,5.64
864,2016/2017,2017-04-16,14:00:00,Mattersburg,Austria Vienna,0,3,A,3.09,3.3,2.27
865,2016/2017,2017-04-22,15:00:00,Sturm Graz,Mattersburg,0,2,A,1.82,3.51,4.35
866,2016/2017,2017-04-22,17:30:00,Altach,Admira,0,0,D,1.61,3.68,5.79
867,2016/2017,2017-04-22,17:30:00,Ried,Wolfsberger AC,1,1,D,2.11,3.23,3.55
868,2016/2017,2017-04-22,17:30:00,St. Polten,Salzburg,1,2,A,9.71,4.96,1.32
869,2016/2017,2017-04-23,15:30:00,SK Rapid,Austria Vienna,0,2,A,1.94,3.45,3.85
870,2016/2017,2017-04-29,15:00:00,Austria Vienna,Sturm Graz,4,1,H,2.07,3.26,3.6
871,2016/2017,2017-04-29,17:30:00,Wolfsberger AC,Mattersburg,2,2,D,2.59,3.14,2.76
872,2016/2017,2017-04-29,17:30:00,Salzburg,Ried,1,1,D,1.21,6.22,13.3
873,2016/2017,2017-04-29,17:30:00,St. Polten,Altach,3,3,D,2.8,3.16,2.54
